"State","obesityRank","obesityPercentage","Pop"
"West Virginia",1,"0.3810",1791951
"Mississippi",2,"0.3730",2987895
"Oklahoma",3,"0.3650",3948950
"Iowa",4,"0.3640",3167997
"Alabama",5,"0.3630",4898246
"Louisiana",6,"0.3620",4652581
"Arkansas",7,"0.3500",3026412
"Kentucky",8,"0.3430",4484047
"Alaska",9,"0.3420",735720
"South Carolina",10,"0.3410",5147111
"Ohio",11,"0.3380",11718568
"Indiana",12,"0.3360",6718616
"North Dakota",13,"0.3320",760900
"Texas",14,"0.3300",29087070
"Nebraska",15,"0.3280",1940919
"Tennessee",15,"0.3280",6833793
"Missouri",17,"0.3250",6147861
"Kansas",18,"0.3240",2910931
"Michigan",19,"0.3230",10020472
"North Carolina",20,"0.3210",10497741
"Wisconsin",21,"0.3200",5832661
"South Dakota",22,"0.3190",892631
"Delaware",23,"0.3180",975033
"Georgia",24,"0.3160",10627767
"Pennsylvania",24,"0.3160",12813969
"Maryland",26,"0.3130",6062917
"Illinois",27,"0.3110",12700381
"Virginia",28,"0.3010",8571946
"Rhode Island",29,"0.3000",1056738
"Arizona",30,"0.2950",7275070
"Oregon",31,"0.2940",4245901
"Idaho",32,"0.2930",1790182
"Maine",33,"0.2910",1342097
"Wyoming",34,"0.2880",572381
"Florida",35,"0.2840",21646155
"Minnesota",35,"0.2840",5655925
"New Mexico",35,"0.2840",2096034
"New Hampshire",38,"0.2810",1363852
"Washington",39,"0.2770",7666343
"Vermont",40,"0.2760",627180
"New Jersey",41,"0.2730",8922547
"Connecticut",42,"0.2690",3567871
"Nevada",43,"0.2670",3087025
"Massachusetts",44,"0.2590",6939373
"New York",45,"0.2570",19491339
"Montana",46,"0.2530",1074532
"Utah",46,"0.2530",3221610
"California",48,"0.2510",39747267
"Hawaii",49,"0.2380",1416589
"Colorado",50,"0.2260",5770545
